,feature,importance
239,地铁站点#45.0,6.902781977425538e-05
132,位置#97,6.893023283376227e-05
203,地铁站点#9.0,6.7975975305355e-05
180,位置#145,6.451478227297334e-05
185,位置#150,6.435274841803182e-05
63,位置#28,5.8572619543777494e-05
187,位置#152,5.720967668542733e-05
98,位置#63,5.684149646561068e-05
202,地铁站点#8.0,5.658904561950324e-05
214,地铁站点#20.0,5.608008757539322e-05
86,位置#51,5.603796514532559e-05
272,地铁站点#78.0,5.594826578291833e-05
209,地铁站点#15.0,5.560820344272443e-05
164,位置#129,5.554250227325837e-05
273,地铁站点#79.0,5.5074952090928634e-05
150,位置#115,5.4150391213601006e-05
282,地铁站点#88.0,5.41289652240482e-05
85,位置#50,5.362902640601303e-05
131,位置#96,5.341377446204729e-05
216,地铁站点#22.0,5.257792983349777e-05
169,位置#134,5.238696024083802e-05
121,位置#86,5.2356575130146346e-05
241,地铁站点#47.0,5.113640422628415e-05
153,位置#118,4.844000948824618e-05
79,位置#44,4.8307791591545564e-05
77,位置#42,4.782567897774114e-05
184,位置#149,4.7641501534800134e-05
110,位置#75,4.7581642966616056e-05
212,地铁站点#18.0,4.7412793694560656e-05
43,位置#8,4.690751751585525e-05
305,地铁站点#111.0,4.68447398683258e-05
210,地铁站点#16.0,4.6775404178672266e-05
308,地铁站点#114.0,4.592238176074576e-05
291,地铁站点#97.0,4.390077653738753e-05
72,位置#37,4.334374573677671e-05
205,地铁站点#11.0,4.2453696346493856e-05
279,地铁站点#85.0,4.0389777172525075e-05
197,地铁站点#3.0,4.004552602419683e-05
176,位置#141,3.888684757278584e-05
255,地铁站点#61.0,3.8789095885010825e-05
232,地铁站点#38.0,3.8156304362879835e-05
274,地铁站点#80.0,3.749504041958597e-05
217,地铁站点#23.0,3.681012062193369e-05
310,地铁站点#116.0,3.615189488443252e-05
238,地铁站点#44.0,3.598092255447691e-05
249,地铁站点#55.0,3.59601017957735e-05
226,地铁站点#32.0,3.5858399670830246e-05
264,地铁站点#70.0,3.565386206359343e-05
263,地铁站点#69.0,3.512698265874377e-05
207,地铁站点#13.0,3.4510889653407916e-05
156,位置#121,3.4202568185827396e-05
196,地铁站点#2.0,3.3691471308321634e-05
122,位置#87,3.285275346687402e-05
134,位置#99,3.213253624386256e-05
91,位置#56,3.1694066390800184e-05
224,地铁站点#30.0,3.108593612250879e-05
171,位置#136,3.105950875019098e-05
69,位置#34,2.8310585655968374e-05
96,位置#61,2.7091275791181168e-05
152,位置#117,2.6110937469434566e-05
299,地铁站点#105.0,2.600554569607332e-05
161,位置#126,2.5864615369399136e-05
71,位置#36,2.4917103285840162e-05
229,地铁站点#35.0,2.479400949924673e-05
213,地铁站点#19.0,2.4487473547657946e-05
250,地铁站点#56.0,2.439302089030512e-05
289,地铁站点#95.0,2.4066954729597283e-05
297,地铁站点#103.0,2.3275512264593076e-05
262,地铁站点#68.0,2.3032913922945412e-05
179,位置#144,2.274300416982544e-05
223,地铁站点#29.0,2.1534830872740602e-05
138,位置#103,1.996994213495555e-05
298,地铁站点#104.0,1.975300294829733e-05
242,地铁站点#48.0,1.9321418110390237e-05
55,位置#20,1.8962935931585836e-05
228,地铁站点#34.0,1.8757472816685005e-05
103,位置#68,1.8577592012091383e-05
286,地铁站点#92.0,1.8524958181171608e-05
115,位置#80,1.8075042507966245e-05
67,位置#32,1.7595168634254486e-05
206,地铁站点#12.0,1.7458634651918036e-05
233,地铁站点#39.0,1.742618363686779e-05
147,位置#112,1.6985374901333225e-05
126,位置#91,1.6961645425760237e-05
261,地铁站点#67.0,1.68049392416084e-05
204,地铁站点#10.0,1.6593484301979927e-05
195,地铁站点#1.0,1.636566899246864e-05
243,地铁站点#49.0,1.5667570065605365e-05
167,位置#132,1.5579814254737483e-05
159,位置#124,1.5493622888831743e-05
143,位置#108,1.5337157741906023e-05
46,位置#11,1.5031371049422174e-05
244,地铁站点#50.0,1.4865212046585286e-05
284,地铁站点#90.0,1.4594666443375317e-05
160,位置#125,1.3974120090760922e-05
285,地铁站点#91.0,1.3916977180044525e-05
278,地铁站点#84.0,1.364346435266745e-05
295,地铁站点#101.0,1.3133845367368497e-05
222,地铁站点#28.0,1.178288205894436e-05
80,位置#45,9.963083994941429e-06
287,地铁站点#93.0,9.74623377450514e-06
270,地铁站点#76.0,8.67308512631474e-06
257,地铁站点#63.0,8.650051399855846e-06
45,位置#10,8.351812946741622e-06
42,位置#7,8.229452963671339e-06
127,位置#92,7.451100318101618e-06
288,地铁站点#94.0,7.241889715794809e-06
276,地铁站点#82.0,6.596256196135805e-06
312,地铁站点#118.0,6.083770275099056e-06
136,位置#101,5.341607524074317e-06
259,地铁站点#65.0,5.0090864464797995e-06
215,地铁站点#21.0,3.988684204430376e-06
306,地铁站点#112.0,3.4419246706881282e-06
248,地铁站点#54.0,3.351885180474117e-06
265,地铁站点#71.0,3.2108468323966192e-06
296,地铁站点#102.0,3.015150318593169e-06
267,地铁站点#73.0,2.923874393705108e-06
304,地铁站点#110.0,2.7388685076943306e-06
146,位置#111,1.8567346914684553e-06
311,地铁站点#117.0,1.6969905231177787e-06
220,地铁站点#26.0,1.3606763218052125e-06
100,位置#65,1.3425342192381223e-06
294,地铁站点#100.0,1.2848611688672977e-06
219,地铁站点#25.0,1.2311698527272037e-06
218,地铁站点#24.0,1.1336232935044017e-06
247,地铁站点#53.0,1.0612242177805582e-06
105,位置#70,9.754611672169942e-07
246,地铁站点#52.0,7.413803979698797e-07
23,区#2,5.539841462701554e-07
245,地铁站点#51.0,5.355439977221327e-07
300,地铁站点#106.0,2.9877383406068367e-07
256,地铁站点#62.0,2.729397892561183e-07
60,位置#25,9.735749315824183e-08
275,地铁站点#81.0,3.51083546768482e-08
293,地铁站点#99.0,1.0556444823628206e-08
81,位置#46,9.092799907164105e-09
56,位置#21,6.389738363613501e-09
302,地铁站点#108.0,5.088997459645306e-09
111,位置#76,1.1186891989209265e-10
254,地铁站点#60.0,0.0
